track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
101,庾澄庆,808,,,,,,,,
100,Britney Spears,Circus,,,,,,,,
99,品冠/李心洁,当你想着我,,,,,,,,
98,罗志祥,个中强手,,,,,,,,
97,蔡淳佳,隐形纪念,,,,,,,,
96,Taylor Swift,You belong with me,,,,,,,,
95,棉花糖,陪你到世界的终结,,,,,,,,
94,张悬,Beautiful woman,,,,,,,,
93,萧亚轩,闪闪惹人爱,,,,,,,,
92,张靓颖,木兰心,,,,,,,,
91,萧亚轩,钻石糖,,,,,,,,
90,郭峰,春天里,,,,,,,,
89,陶喆,我太傻,,,,,,,,
88,Pitbull,I know you want me,,,,,,,,
87,戴佩妮,一念之间,,,,,,,,
86,飞轮海,越来越爱,,,,,,,,
85,黄雅莉,恋爱绝句选,,,,,,,,
84,方大同,每个人都会,,,,,,,,
83,丛浩楠 杨宗纬,我的太阳,,,,,,,,
82,棒棒糖,综艺咖,,,,,,,,
81,BY2,勇敢,,,,,,,,
80,梁咏琪,我是你的梁咏琪,,,,,,,,
79,温岚,Disco,,,,,,,,
78,容祖儿,圆谎,,,,,,,,
77,潘玮柏,亲爱的,,,,,,,,
76,罗志祥,第二顺位,,,,,,,,
75,林俊杰,第几个一百天,,,,,,,,
74,Beyonce,Single ladies,,,,,,,,
73,萧敬腾,新不了情,,,,,,,,
72,陶喆,请继续任性,,,,,,,,
71,吴克群,把心拉近,,,,,,,,
70,张韶涵,偶尔,,,,,,,,
69,罗志祥,Party Boy,,,,,,,,
68,方大同,Sing a long song,,,,,,,,
67,张惠妹,掉了,,,,,,,,
66,卢广仲,Oh Yeah,,,,,,,,
65,苏打绿,早点回家,,,,,,,,
64,唐禹哲,Kiss me now,,,,,,,,
63,王啸坤,北京下雨了,,,,,,,,
62,蔡依林,大丈夫,,,,,,,,
61,苏见信,火烧的寂寞,,,,,,,,
60,李玟,流转,,,,,,,,
59,周笔畅,你们的爱,,,,,,,,
58,潘玮柏,Be with you,,,,,,,,
57,刘力扬,礼物,,,,,,,,
56,蔡健雅,若你碰见他,,,,,,,,
55,梁静茹,属于,,,,,,,,
54,胡彦斌,失业情歌,,,,,,,,
53,郭书瑶,爱的抱抱,,,,,,,,
52,大嘴巴,国王皇后,,,,,,,,
51,郭静,心墙,,,,,,,,
50,陈绮贞,倔强爱情的胜利,,,,,,,,
49,蔡卓妍,二缺一,,,,,,,,
48,方大同,三人游,,,,,,,,
47,唐禹哲,新歌,,,,,,,,
46,莫文蔚,外面的世界,,,,,,,,
45,弦子,舞台,,,,,,,,
44,梁静茹,情歌,,,,,,,,
43,纵贯线,公路,,,,,,,,
42,范玮琪/Mc Hotdog,一到十等于我和你,,,,,,,,
41,任贤齐/王菀之,气球,,,,,,,,
40,苏打绿,狂热,,,,,,,,
39,张芸京,黑裙子,,,,,,,,
38,李宇春,Why Me,,,,,,,,
37,潘玮柏,双人舞,,,,,,,,
36,陈奕迅,心的距离,,,,,,,,
35,张靓颖,花开的声音,,,,,,,,
34,王力宏,心跳,,,,,,,,
33,Black Eyed Peas,Boom Boom Pow,,,,,,,,
32,萧敬腾,王妃,,,,,,,,
31,BY2,我知道,,,,,,,,
30,方炯镔,遗憾,,,,,,,,
29,张惠妹,分生,,,,,,,,
28,戴佩妮,两难,,,,,,,,
27,Linkin Park,New Divide,,,,,,,,
26,林宥嘉,说谎,,,,,,,,
25,小宇,爱上,,,,,,,,
24,Tank,如果我变成回忆,,,,,,,,
23,徐佳莹,身骑白马,,,,,,,,
22,周杰伦/袁咏琳,画沙,,,,,,,,
21,Wonder Girls,Nobody,,,,,,,,
20,陶喆,暗恋,,,,,,,,
19,蔡健雅,谁,,,,,,,,
18,丁当/阿信,花火,,,,,,,,
17,Lady Gaga,Pokerface,,,,,,,,
16,张韶涵,看得最远的地方,,,,,,,,
15,方大同,Nothing's gonna change my love for you,,,,,,,,
14,王力宏/张靓颖,另一个天堂,,,,,,,,
13,蔡依林,妥协,,,,,,,,
12,萧亚轩,倒数,,,,,,,,
11,苏打绿,日光,,,,,,,,
10,曹格,借我一辈子,,,,,,,,
9,郭静,在树上唱歌,,,,,,,,
8,Michael Jackson,This is it,,,,,,,,
7,梁静茹,没有如果,,,,,,,,
6,李宇春,下个，路口，见,,,,,,,,
5,陈奕迅,在你身边,,,,,,,,
4,周笔畅,这句话,,,,,,,,
3,王力宏,春雨里洗过的太阳,,,,,,,,
2,Super Junior,"Sorry,sorry",,,,,,,,
1,方大同,红豆,,,,,,,,
