track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
101,李玖哲,影子,,,,,,,,
100,周传雄,寂寞沙洲冷,,,,,,,,
99,张智成,快乐,,,,,,,,
98,信乐团,死了都要爱,,,,,,,,
97,谢霆锋,你微笑时好美,,,,,,,,
96,五月天,咸鱼,,,,,,,,
95,s.h.e,super model,,,,,,,,
94,js,杀破狼,,,,,,,,
93,王蓉,哎呀,,,,,,,,
92,孙燕姿,眼泪成诗,,,,,,,,
91,罗志祥,自我催眠,,,,,,,,
90,刘若英,24楼,,,,,,,,
89,品冠,又一年又三年,,,,,,,,
88,没有你了,李泉,,,,,,,,
87,无尽的爱,成龙/金喜善,,,,,,,,
86,爱疯了,戴佩尼,,,,,,,,
85,许愿池的希腊少女,蔡依林,,,,,,,,
84,twins,森巴皇后,,,,,,,,
83,陈奕讯,遇见了你,,,,,,,,
82,飞儿乐队,无限,,,,,,,,
81,温岚,爱回温,,,,,,,,
80,石康军,火光,,,,,,,,
79,陶喆,爱我还是他,,,,,,,,
78,潘玮柏,谁是mvp,,,,,,,,
77,阿桑,寂寞在唱歌,,,,,,,,
76,五月天,花,,,,,,,,
75,twins,星光游乐园,,,,,,,,
74,张韶涵,mama mama,,,,,,,,
73,南拳妈妈,牡丹江,,,,,,,,
72,陈绮贞,旅行的意义,,,,,,,,
71,s.h.e,星光,,,,,,,,
70,古巨基,睡美人,,,,,,,,
69,王心凌,da da da,,,,,,,,
68,王力宏,一首简单的歌,,,,,,,,
67,李圣杰,手放开,,,,,,,,
66,范玮琪,一比一,,,,,,,,
65,周杰伦,飘移,,,,,,,,
64,孙燕姿,第一天,,,,,,,,
63,吴克群,大舌头,,,,,,,,
62,江美琪,那年的情书,,,,,,,,
61,徐若瑄,爱笑的眼睛,,,,,,,,
60,原点,蔡健雅,,,,,,,,
59,蔡依林,野蛮游戏,,,,,,,,
58,周迅,大齐,,,,,,,,
57,光良,天堂,,,,,,,,
56,杨丞琳,暧昧,,,,,,,,
55,欧得洋,孤单北半球,,,,,,,,
54,王力宏,放开你的心,,,,,,,,
53,阿桑,一直很安静,,,,,,,,
52,花儿乐队,洗唰唰,,,,,,,,
51,陈奕迅,"对不起,谢谢",,,,,,,,
50,蔡健雅,双栖动物,,,,,,,,
49,张善为,真夏的樱花,,,,,,,,
48,信/薛岳/柯有伦,如果还有明天,,,,,,,,
47,任贤齐&舒淇,"那一年,这一天",,,,,,,,
46,梁静茹,丝路,,,,,,,,
45,黄义达,那个女孩对我说,,,,,,,,
44,蔡依林,睁一只眼 闭一只眼,,,,,,,,
43,黄立行,忙与盲,,,,,,,,
42,五月天,恋爱ing,,,,,,,,
41,王心凌,翅膀,,,,,,,,
40,周传雄,上海黑夜黎明,,,,,,,,
39,陶晶莹,走路去纽约,,,,,,,,
38,陶喆,susan说,,,,,,,,
37,王力宏,花田错,,,,,,,,
36,刘若英,光,,,,,,,,
35,周杰伦,一路向北,,,,,,,,
34,罗志祥,真命天子,,,,,,,,
33,张韶涵,手心的太阳,,,,,,,,
32,刘德华,再说一次我爱你,,,,,,,,
31,阿杜,下雪,,,,,,,,
30,s.h.e,不想长大,,,,,,,,
29,王力宏,forever love,,,,,,,,
28,林俊杰&金莎,被风吹过的夏天,,,,,,,,
27,孙燕姿,完美的一天,,,,,,,,
26,周杰伦,发如雪,,,,,,,,
25,李宇春,tmd我爱你,,,,,,,,
24,张学友,如果爱,,,,,,,,
23,陈慧琳,希望,,,,,,,,
22,张栋梁,当你孤单你会想起谁,,,,,,,,
21,赵薇,我和上官燕,,,,,,,,
20,阿桑,一直很安静,,,,,,,,
19,林俊杰,编号89757,,,,,,,,
18,品冠,后来的我们,,,,,,,,
17,徐若瑄,狠狠爱,,,,,,,,
16,吴克群,吴克群,,,,,,,,
15,twins,莫斯科没有眼泪,,,,,,,,
14,蔡依林,天空,,,,,,,,
13,周杰伦&lara,珊瑚海,,,,,,,,
12,王心凌,honey,,,,,,,,
11,陶喆,就是爱你,,,,,,,,
10,范玮琪 张韶涵,如果的事,,,,,,,,
9,王力宏,心中的日月,,,,,,,,
8,潘玮柏,不得不爱,,,,,,,,
7,林俊杰,一千年以后,,,,,,,,
6,f.i.r.,千年之恋,,,,,,,,
5,罗志祥小s,恋爱达人,,,,,,,,
4,周笔畅,笔记,,,,,,,,
3,光良,童话,,,,,,,,
2,五月天,知足,,,,,,,,
1,周杰伦,夜曲,,,,,,,,
