track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
101,FIR,三个心愿,,,,,,,,
100,蔡依林,Get The Party Started,,,,,,,,
99,张信哲,逃生,,,,,,,,
98,罗志祥,我不会唱歌,,,,,,,,
97,林俊杰 金沙,期待爱,,,,,,,,
96,周杰伦,流浪诗人,,,,,,,,
95,满文军,彼岸,,,,,,,,
94,BY2,不够成熟,,,,,,,,
93,郭静,下一个天亮,,,,,,,,
92,潘玮柏,转机,,,,,,,,
91,丁当,猜不透,,,,,,,,
90,张敬轩,樱花树下,,,,,,,,
89,萧敬腾,收藏,,,,,,,,
88,Hebe,来不及,,,,,,,,
87,周杰伦,给我一首歌的时间,,,,,,,,
86,苏打绿,游乐,,,,,,,,
85,飞轮海,越来越爱,,,,,,,,
84,刘力扬,我就是这样,,,,,,,,
83,萧亚轩,冲动,,,,,,,,
82,林宇中,远远,,,,,,,,
81,丝莫文蔚,头号粉,,,,,,,,
80,卢广仲,100种生活,,,,,,,,
79,戴爱玲,天使之翼,,,,,,,,
78,曹格,super sunshine,,,,,,,,
77,梁静茹,今天情人节,,,,,,,,
76,蔡依林,I Won't Last A Day Without You,,,,,,,,
75,爱戴,和寂寞说分手,,,,,,,,
74,林俊杰,我还想他,,,,,,,,
73,棒棒糖,藏经阁,,,,,,,,
72,范逸臣,无乐不做,,,,,,,,
71,Flo Rida,low,,,,,,,,
70,Superjunior ,至少还有你,,,,,,,,
69,李宇春,我是你的XX,,,,,,,,
68,Great DJ,The Ting Tings,,,,,,,,
67,陈奕迅,倒带人生,,,,,,,,
66,范逸臣,国境之南,,,,,,,,
65,SHE,沿海公路的出口,,,,,,,,
64,吴克群,情人节,,,,,,,,
63,方大同&薛凯琪,复刻回忆,,,,,,,,
62,beautiful days,Arashi 岚,,,,,,,,
61,周杰伦,花海,,,,,,,,
60,郑中基,怪胎,,,,,,,,
59,吴克群,傻瓜,,,,,,,,
58,范玮琪,一颗心的距离,,,,,,,,
57,Beyonce,if i were a boy,,,,,,,,
56,林俊杰,不嘲不用花钱,,,,,,,,
55,萧亚轩&罗志祥,败给你,,,,,,,,
54,张杰,天下,,,,,,,,
53,杨宗纬,幸福的风,,,,,,,,
52,张韶涵,我恋爱了,,,,,,,,
51,王力宏,心跳,,,,,,,,
50,魔力红乐团(不太确定),If i never see your face again,,,,,,,,
49,李玖哲,不完美,,,,,,,,
48,FIR,月牙湾,,,,,,,,
47,五月天,噢麦噶,,,,,,,,
46,曹格,无辜,,,,,,,,
45,吴克群,越爱越难过,,,,,,,,
44,林俊杰,醉赤壁,,,,,,,,
43,周杰伦,说好的幸福,,,,,,,,
42,杨宗玮,洋葱,,,,,,,,
41,MAY DAY 叮当,走火入魔,,,,,,,,
40,苏打绿,陪我歌唱,,,,,,,,
39,光良,右手边,,,,,,,,
38,SHE,宇宙小姐,,,,,,,,
37,孙楠,生死不离,,,,,,,,
36,飞轮海,为你存在,,,,,,,,
35,古巨基,情歌王,,,,,,,,
34,杨宗纬,鸽子,,,,,,,,
33,薛之谦,深深爱过你,,,,,,,,
32,苏见信,Take Me To The Star,,,,,,,,
31,林宥嘉,残酷月光,,,,,,,,
30,BOBO,光荣,,,,,,,,
29,陈小春,独家记忆,,,,,,,,
28,周杰伦,兰亭序,,,,,,,,
27,李宇春,少年中国,,,,,,,,
26,梁静茹,会呼吸的痛,,,,,,,,
25,方大同,LOVE SONG,,,,,,,,
24,SHE,安静了,,,,,,,,
23,张杰,明天过后,,,,,,,,
22,萧敬腾,疼爱,,,,,,,,
21,陈奕迅,路一直都在,,,,,,,,
20,林宥嘉,眼色,,,,,,,,
19,玛丽亚凯莉,touch my body,,,,,,,,
18,五月天,你不是真正的快乐,,,,,,,,
17,TANK,斗牛要不要,,,,,,,,
16,刘力扬,眼泪笑了,,,,,,,,
15,许茹芸 阿穆隆,男人女人,,,,,,,,
14,Madonna,4minutes,,,,,,,,
13,张靓颖,画心,,,,,,,,
12,古巨基 梁静茹,还是好朋友,,,,,,,,
11,弦子,舍不得,,,,,,,,
10,Coolplay,viva la vida,,,,,,,,
9,JJ 阿SA,小酒窝,,,,,,,,
8,SHE 飞轮海,新窝,,,,,,,,
7,南拳妈妈,下雨天,,,,,,,,
6,五月天,突然好想你,,,,,,,,
5,王若琳,有你的快乐,,,,,,,,
4,吴克群,为你写诗,,,,,,,,
3,张韶涵,亲爱的那不是爱情,,,,,,,,
2,周杰伦,稻香,,,,,,,,
1,群星,北京欢迎你,,,,,,,,
