track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
101,丁当,我是一只小小鸟,,,,,,,,
100,容祖儿,空港,,,,,,,,
99,Olivia Ong,我愿意,,,,,,,,
98,郁可唯,暖心,,,,,,,,
97,Magic power,summer,,,,,,,,
96,王铮亮,上帝派我来爱你,,,,,,,,
95,F.I.R,荆棘里的花,,,,,,,,
94,彭于晏,非爱不可,,,,,,,,
93,周杰伦,好久不见,,,,,,,,
92,严爵,夏日罗曼史,,,,,,,,
91,Hebe&林宥嘉,给小孩,,,,,,,,
90,kylie minogue,All the lovers ,,,,,,,,
89,刘德华,一生何求,,,,,,,,
88,牛奶咖啡,幸运星,,,,,,,,
87,陈奕迅&露云娜,讲男讲女,,,,,,,,
86,Bii,转身之后,,,,,,,,
85,林依晨,花一开就相爱吧,,,,,,,,
84,后弦&Sara,你还欠我一个拥抱,,,,,,,,
83,唐禹哲,i'm back,,,,,,,,
82,林宇中,路过的新娘,,,,,,,,
81,宇宙人,要去高雄,,,,,,,,
80,王力宏,柴米油盐酱醋茶,,,,,,,,
79,Lady Gaga,Alejandro,,,,,,,,
78,刘惜君,我很快乐,,,,,,,,
77,徐佳莹,极限,,,,,,,,
76,大嘴巴,爱不爱我,,,,,,,,
75,BY2,爱的双重魔力,,,,,,,,
74,陈楚生,一个人唱情歌,,,,,,,,
73,刘若英,我们没有在一起,,,,,,,,
72,尚雯婕,23秒32年,,,,,,,,
71,李圣杰,抱歉,,,,,,,,
70,万芳,我们不要伤心了,,,,,,,,
69,曹格,爷爷,,,,,,,,
68,伊能静,爱的练习本,,,,,,,,
67,光良,太天真,,,,,,,,
66,S.H.E,Shero,,,,,,,,
65,莫文蔚,完美孤独,,,,,,,,
64,李玖哲,最后的那一天,,,,,,,,
63,李健,一往情深的恋人,,,,,,,,
62,江美琪,月光下,,,,,,,,
61,浪花兄弟,太阳升起,,,,,,,,
60,大嘴巴,Rock it,,,,,,,,
59,苏醒,想念式,,,,,,,,
58,丁当,飞机场的10:30,,,,,,,,
57,南拳妈妈,爱你离开你,,,,,,,,
56,戴佩妮,野蔷薇,,,,,,,,
55,庾澄庆,无尽透明的思念,,,,,,,,
54,王力宏,你不知道的事 ,,,,,,,,
53,Owl city,Firefiles,,,,,,,,
52,韩庚,心疼•笔记本 ,,,,,,,,
51,萧亚轩,错的人 ,,,,,,,,
50,杨丞琳,雨爱,,,,,,,,
49,神木与瞳,宽恕,,,,,,,,
48,郭静,Encore lala,,,,,,,,
47,吴克群,没关系,,,,,,,,
46,周笔畅,单面镜,,,,,,,,
45,Beyonce&Lady gaga,Telephone,,,,,,,,
44,张信哲,空位,,,,,,,,
43,刘若英,我不想念,,,,,,,,
42,齐秦,离开我,,,,,,,,
41,莫文蔚,艾美丽爱美丽,,,,,,,,
40,田馥甄,Love!,,,,,,,,
39,周杰伦,烟花易冷,,,,,,,,
38,郭采洁,爱不爱,,,,,,,,
37,黄龄,特别,,,,,,,,
36,梁文音&王铮亮,满满,,,,,,,,
35,胡彦斌,空位,,,,,,,,
34,方大同,玩乐,,,,,,,,
33,蔡卓妍,往事并不如烟,,,,,,,,
32,张靓颖,我相信,,,,,,,,
31,何润东,我记得我爱过,,,,,,,,
30,Bruno Mars,Just the way you are,,,,,,,,
29,蔡依林,即时生效,,,,,,,,
28,林俊杰,背对背拥抱,,,,,,,,
27,S.H.E,你不会,,,,,,,,
26,李玖哲,夏天,,,,,,,,
25,莫文蔚,宝贝,,,,,,,,
24,林宥嘉,Fly my way,,,,,,,,
23,周笔畅,鱼罐头,,,,,,,,
22,萧亚轩,潇洒小姐,,,,,,,,
21,郭静,聊天,,,,,,,,
20,浪花兄弟,想你就写信,,,,,,,,
19,张靓颖,如果这就是爱情,,,,,,,,
18,田馥甄,寂寞寂寞就好,,,,,,,,
17,苏打绿,十年一刻,,,,,,,,
16,郭书瑶,Honey,,,,,,,,
15,罗志祥,爱的主场秀,,,,,,,,
14,韩庚,My logo,,,,,,,,
13,Shakira,Waka Waka,,,,,,,,
12,罗志祥&杨丞琳,in your eyes,,,,,,,,
11,张学友,迷你,,,,,,,,
10,飞轮海,太热,,,,,,,,
9,周杰伦&袁咏琳,画沙,,,,,,,,
8,王力宏,美,,,,,,,,
7,蔡依林,美人计,,,,,,,,
6,张靓颖&大嘴巴,办不到,,,,,,,,
5,林俊杰,第几个100天,,,,,,,,
4,周杰伦,超人不会飞,,,,,,,,
3,justin bieber,baby,,,,,,,,
2,王菲,传奇,,,,,,,,
1,黄小琥,没那么简单,,,,,,,,
