track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
101,Jason Mraz,I Won't Give Up,,,,,,,,
100,曹轩宾,当我不在你身边,,,,,,,,
99,"张靓颖,潘辰",因为爱,,,,,,,,
98,严爵,暂时的男朋友,,,,,,,,
97,大嘴巴,play,,,,,,,,
96,张惠妹,裂痕,,,,,,,,
95,Fun.,We are young,,,,,,,,
94,张悬,艳火,,,,,,,,
93,牛奶咖啡,你不能爱我,,,,,,,,
92,八三夭,最好的结局,,,,,,,,
91,Nicki Minaj featDavidGuetta,Turn me on,,,,,,,,
90,韩雪,昙花,,,,,,,,
89,胡夏,燃点,,,,,,,,
88,DJ丁丁,谢耳朵,,,,,,,,
87,usher,scream,,,,,,,,
86,庾澄庆，吴莫愁,我要给你,,,,,,,,
85,杨坤,真的很在乎,,,,,,,,
84,炎亚纶,可能你还爱我,,,,,,,,
83,Nicki Minaj,starships,,,,,,,,
82,许嵩,幻听,,,,,,,,
81,Neon Trees,Everybody Talks,,,,,,,,
80,韩庚,狂草,,,,,,,,
79,丁丁,爱要坦荡荡,,,,,,,,
78,林宥嘉,傻子,,,,,,,,
77,Carrie underwood,Blown away,,,,,,,,
76,何洁,请不要对我说sorry,,,,,,,,
75,胡彦斌,爱情是怎么了,,,,,,,,
74,苏妙玲,一刻,,,,,,,,
73,Bigbang,Blue,,,,,,,,
72,方大同,BB88,,,,,,,,
71,杨丞琳,忘了,,,,,,,,
70,Katy Perry,Wide awake,,,,,,,,
69,多亮,小情歌,,,,,,,,
68,Pitbull,Don't Stop The Party,,,,,,,,
67,郭静,拥抱你的微笑,,,,,,,,
66,韩庚，萧亚轩,最佳听众,,,,,,,,
65,Justin Bieber,Boyfriend,,,,,,,,
64,丁当,不是你的错,,,,,,,,
63,郁可唯,幸福难不难,,,,,,,,
62,林俊杰,白兰花,,,,,,,,
61,陈嘉桦,坏女孩,,,,,,,,
60,Carly.Rae.Jepsen，Owl City,Good time,,,,,,,,
59,阿杜,Valentine's Day,,,,,,,,
58,蔡依林,诗人漫步,,,,,,,,
57,周笔畅,走,,,,,,,,
56,王心凌,变成陌生人,,,,,,,,
55,刘惜君,爱别离,,,,,,,,
54,曹轩宾,可惜不是你,,,,,,,,
53,徐佳莹,你敢不敢,,,,,,,,
52,Train,0 Ways To Say Goodbye,,,,,,,,
51,黄小琥,对爱期待,,,,,,,,
50,"Justin Bieber,Big Sean",As long as you love me,,,,,,,,
49,江美琪,完美分手,,,,,,,,
48,张玮,High歌,,,,,,,,
47,温岚,忍不住原谅,,,,,,,,
46,chris brown,turn up the music,,,,,,,,
45,郭采洁,给他,,,,,,,,
44,罗志祥,有我在,,,,,,,,
43,Adele,Skyfall,,,,,,,,
42,品冠,未拆的礼物,,,,,,,,
41,任家萱,爱我的每个人,,,,,,,,
40,梁静茹,偶阵雨,,,,,,,,
39,flo rida,i cry,,,,,,,,
38,张韶涵,淋雨一直走,,,,,,,,
37,吴克群,胡闹,,,,,,,,
36,曲婉婷,没有什么不同,,,,,,,,
35,Maroon5,One more night,,,,,,,,
34,萧亚轩,爱不离手,,,,,,,,
33,林凡,缺口,,,,,,,,
32,bruno mars,Locked out of heaven,,,,,,,,
31,薛凯琪,Better me,,,,,,,,
30,平安,洋葱,,,,,,,,
29,徐佳莹,不难,,,,,,,,
28,ke＄ha,die young,,,,,,,,
27,五月天,我不愿让你一个人,,,,,,,,
26,Fun.,Some Nights,,,,,,,,
25,潘玮柏,专属于你,,,,,,,,
24,taylor swift,we are never ever getting back together,,,,,,,,
23,萧敬腾,How deep is your love,,,,,,,,
22,Pink,Try,,,,,,,,
21,Justin Bieber & Nicki Minaj,Beauty And A Beat,,,,,,,,
20,范玮琪,最亲爱的你,,,,,,,,
19,SHE,花又开好了,,,,,,,,
18,丁当,一个人不可能,,,,,,,,
17,蔡依林,大艺术家,,,,,,,,
16,Maroon 5,Payphone,,,,,,,,
15,李宇春,再不疯狂我们就老了,,,,,,,,
14,关喆,想你的夜,,,,,,,,
13,Rihanna,Diamonds,,,,,,,,
12,梁静茹,爱久见人心,,,,,,,,
11,Flo Rida,Whistle,,,,,,,,
10,罗志祥,不具名的悲伤,,,,,,,,
9,林宥嘉,浪费,,,,,,,,
8,张靓颖,好不容易,,,,,,,,
7,One Direction,What makes you beautiful,,,,,,,,
6,林俊杰,学不会,,,,,,,,
5,五月天,诺亚方舟,,,,,,,,
4,Carly Rae Jepsen ,call me maybe,,,,,,,,
3,胡夏,那些年,,,,,,,,
2,Psy,江南Style,,,,,,,,
1,曲婉婷,我的歌声里,,,,,,,,
